,age,age_squared,log_minutes,log_appearances,has_appearances,goals_per_90,assists_per_90,contributions_per_90,yellow_per_90,clean_sheets_per_90,log_highest_mv,log_total_fees,transfer_count,squad_size,league_mean_value,creative_per_90,mid_attack_per_90,attack_defense_ratio
4084,-0.19754549095039323,-0.2866424735193908,0.754477248385064,0.9831896962243081,0.43874017524255193,0.6740646897914992,0.601587555540882,0.8791996250117089,-0.034522761334093745,-0.0789793832927823,-0.10256332411688632,-0.4635380537723397,1.7937857517750284,0.7236838391027831,-0.2109866128297434,1.596656260906505,1.8507753312054347,-0.004602837778838565
6492,-0.8384024321110491,-0.839488019747269,0.478076158287953,0.3871862295899855,0.43874017524255193,-0.3043537250301737,-0.3071883406203697,-0.4214040992630375,-0.03645744764639442,-0.08747537218885795,-0.7913723987997053,-0.4635380537723397,2.032208930614783,0.9882754454149321,-1.3261649456019389,-0.7185689530900853,-0.7966086167305281,-0.2372105961889034
4012,0.4433114502102627,0.348106116594099,1.051489514084126,1.2810130782837135,0.43874017524255193,-0.01880895041142884,0.20999081178390777,0.1312532725742804,0.04699706554315015,-0.0950650642477081,0.26969448397254403,-0.4635380537723397,-0.5904460366225175,0.062204823322410695,-0.10317772727825975,0.5990124427827936,0.32832761680705924,-0.1740077033891354
8850,-1.1588309026913772,-1.0851971514041037,-1.289598333279072,-1.1808570240099865,0.43874017524255193,-0.3043537250301737,-0.3071883406203697,-0.4214040992630375,-0.1718854895074392,-0.10489878691713807,-0.18163968178036807,2.146890884480059,3.224324824813556,0.4590922327906341,-0.10317772727825975,-0.7185689530900853,-0.7966086167305281,-0.2372105961889034
971,2.2056680384020666,2.515977309441381,0.6762145096165721,0.5866790315390111,0.43874017524255193,-0.01286400182510437,0.9637943420231846,0.6531930762033104,0.005447540716346921,-0.10489878691713807,0.1617248665800399,-0.4635380537723397,-0.5904460366225175,-0.20238678298973825,1.1846568167832359,2.5194253267309668,1.390738120580497,-0.08664885429426562
3459,0.4433114502102627,0.348106116594099,-0.08852432202318616,-0.3077277271346136,0.43874017524255193,-0.3043537250301737,-0.3071883406203697,-0.4214040992630375,-0.1718854895074392,-0.030921630695403837,-0.5130400497777389,-0.4635380537723397,-0.5904460366225175,0.5913880359467086,-0.5977437449069555,-0.7185689530900853,-0.7966086167305281,-0.2372105961889034
7130,-0.9986166674012131,-0.9649020556971117,-1.8387737115091491,-1.556893344341314,-2.279253317631928,-0.3043537250301737,-0.3071883406203697,-0.4214040992630375,-0.1718854895074392,-0.10489878691713807,-0.7913723987997053,-0.4635380537723397,-0.5904460366225175,0.4590922327906341,0.1895894055833901,-0.7185689530900853,-0.7966086167305281,-0.2372105961889034
5925,-0.5179739615307212,-0.5733031271190313,-1.8387737115091491,-1.556893344341314,-2.279253317631928,-0.3043537250301737,-0.3071883406203697,-0.4214040992630375,-0.1718854895074392,-0.10489878691713807,-0.5130400497777389,-0.4635380537723397,1.7937857517750284,-0.07009097983366377,1.1846568167832359,-0.7185689530900853,-0.7966086167305281,-0.2372105961889034
1112,1.0841683913709186,1.0647577505932004,0.03439478312039559,-0.5012259295867322,0.43874017524255193,-0.3043537250301737,-0.3071883406203697,-0.4214040992630375,-0.027654624925426478,-0.10489878691713807,-0.27292661832799425,-0.4635380537723397,-0.5904460366225175,-3.3774860587355255,-0.0920907420063591,-0.7185689530900853,-0.7966086167305281,-0.2372105961889034
4008,1.0841683913709186,1.0647577505932004,0.8932349262193772,0.9980537968417676,0.43874017524255193,-0.06507404375565849,0.07804165169667257,0.008629994471729149,-0.04087239087622058,-0.09141445666517481,-0.0666618422234918,-0.4635380537723397,-0.5904460366225175,-0.20238678298973825,-0.10317772727825975,0.26285473471630083,0.07872745648689332,-0.15676771257505132
4116,-0.35775972624055724,-0.4325322704406364,0.7427775835019715,0.9359855252375479,0.43874017524255193,0.24299065407521203,0.3222408750585977,0.3893284333488592,-0.0006351225894822185,-0.08041865936355187,1.2610126359626337,2.3000293696977434,2.509055288294292,0.5913880359467086,-1.020021920032925,0.8849841304827516,0.8536406120290265,-0.11974727432413423
776,1.7250253325315745,1.8633124284779135,1.1367776368950306,1.3592260165556356,0.43874017524255193,0.21448026253483757,0.14961656463089787,0.2510356986066718,-0.10875708677245494,-0.0947466027122405,1.6332707549534848,-0.4635380537723397,-0.5904460366225175,0.8559796422588576,-1.020021920032925,0.44520116777522234,0.5721452116704058,0.009974108377678828
9172,-1.319045137981541,-1.2003733068682452,-1.8387737115091491,-1.556893344341314,-2.279253317631928,-0.3043537250301737,-0.3071883406203697,-0.4214040992630375,-0.1718854895074392,-0.10489878691713807,-1.7444620842079066,-0.4635380537723397,0.6016698575762554,0.9882754454149321,-1.3261649456019389,-0.7185689530900853,-0.7966086167305281,-0.2372105961889034
2232,0.6035256855004267,0.5195906147295982,0.059815346896075594,-0.3077277271346136,0.43874017524255193,-0.3043537250301737,0.4245713917180615,0.08128322975112827,0.22629787897051,-0.08213076644398674,-0.7913723987997053,-0.4635380537723397,-0.5904460366225175,-1.525344814550483,-1.020021920032925,1.1456844784255742,0.22661339995637772,-0.20514865153410564
2229,0.12288297962993475,0.020493941051652653,-0.18701991511031832,-0.683764047465941,0.43874017524255193,-0.3043537250301737,-0.3071883406203697,-0.4214040992630375,-0.1718854895074392,-0.0027560161706151167,0.26969448397254403,-0.4635380537723397,-0.5904460366225175,-0.07009097983366377,1.2488872932700035,-0.7185689530900853,-0.7966086167305281,-0.2372105961889034
2154,0.7637399207905907,0.6961940531079482,0.13341875008088278,-0.019858858026503754,0.43874017524255193,-0.3043537250301737,-0.3071883406203697,-0.4214040992630375,-0.1718854895074392,-0.10489878691713807,-0.10256332411688632,-0.4635380537723397,-0.5904460366225175,0.19450062647848518,-0.0920907420063591,-0.7185689530900853,-0.7966086167305281,-0.2372105961889034
6770,-1.1588309026913772,-1.0851971514041037,-1.8387737115091491,-1.556893344341314,-2.279253317631928,-0.3043537250301737,-0.3071883406203697,-0.4214040992630375,-0.1718854895074392,-0.10489878691713807,-1.201847495940422,-0.4635380537723397,-0.5904460366225175,-0.07009097983366377,-0.5977437449069555,-0.7185689530900853,-0.7966086167305281,-0.2372105961889034
