,age,age_squared,log_minutes,log_appearances,has_appearances,goals_per_90,assists_per_90,contributions_per_90,yellow_per_90,clean_sheets_per_90,log_highest_mv,log_total_fees,transfer_count,squad_size,league_mean_value,def_cs_rate,defensive_solidity,def_attack_per_90,discipline_score
9226,-1.6848300226175976,-1.450569719265643,-0.025442936098309075,-0.14224574193562683,0.47379351816918885,-0.27477951725159877,0.15907010858031934,0.12984140311069922,-0.4807190483806524,-0.06520128043617734,-0.7899102884401544,-0.4804661901796802,0.31965741431816197,0.059470859508388,-0.26132127849868847,-0.15995467338437394,-0.07329515768803684,1.8111430181903498,-0.9625477211591846
5490,-0.08543096932330833,-0.1813151042183065,0.5006940394566122,0.2854282538546523,0.47379351816918885,0.06130176664580984,0.01964288721558481,0.025862635687893123,0.06001288837250754,-0.06845237142967134,-0.15467444125309812,-0.4804661901796802,-0.6084485158687986,0.3320629002166969,-0.26132127849868847,0.16743489644474271,-0.10401803722934827,0.5207942833722232,0.1495382063118823
2889,0.23444884133554955,0.13346004031343298,0.7020363108962809,0.6989729409408899,0.47379351816918885,-0.10535679580040822,-0.014947871141518415,-0.02574020466883872,-0.3444242282140837,-0.07653253540520871,1.1708300496534394,-0.4804661901796802,-0.6084485158687986,0.3320629002166969,2.4330439305934064,-0.16919550801664757,-0.18037575991113786,-0.11958318423686268,-0.682239603231924
5197,0.5543286519944074,0.46854325868592983,0.8535073647096041,0.9290156301646919,0.47379351816918885,0.7372903047186697,0.06542054104348964,0.14115959430324124,-0.01935277975609193,-0.08082123291177135,0.3155375600776781,-0.4804661901796802,-0.6084485158687986,0.059470859508388,-1.0829865367861282,-0.30318761018461265,-0.22090404323108273,1.9515987482178152,-0.013687667085059528
1888,1.354028178641552,1.3950991276704856,-0.47513685862749033,-1.1399707195319682,0.47379351816918885,-0.27477951725159877,-0.05011234353286149,-0.07819891737776549,4.552093385177462,0.006248141635273891,0.3155375600776781,-0.4804661901796802,-0.6084485158687986,-0.3494172015540753,1.0208791799704295,2.9911699362208757,0.6019034116507953,-0.770581799164707,4.553602361517521
4630,-0.08543096932330833,-0.1813151042183065,1.047500909472785,1.3278807521616074,0.47379351816918885,0.3530385585218181,-0.006676824764145538,0.029796987081959093,-0.059837131431915914,-0.07865897142802436,0.06538065873175632,-0.4804661901796802,1.4797898270518626,0.19576687986254243,-0.26132127849868847,-0.24420934209039658,-0.20047062588443962,0.5696185334522398,-0.09694902954833456
4400,-0.24537087465273727,-0.3310871487938922,0.9790018964912289,1.278894654294429,0.47379351816918885,0.45170585425106574,-0.029550696496087332,0.017231526787493696,0.03287339967950847,-0.07770222739181867,0.4930267492789697,2.0329584717968356,1.2477633445051224,-0.07682516084576643,-0.8127750604006575,-0.24312218507483513,-0.19142937424459383,0.4136845269695414,0.09372229938493115
4067,0.0745089360061206,-0.026466041182531434,1.1090634339287055,1.4627046587411838,0.47379351816918885,0.5314744676878365,0.05117345715119237,0.10574790269739923,-0.2758967567069312,-0.0777516826019676,1.0583443537434174,2.090364710908042,2.871948722332303,0.6046549409250057,-1.1321077241522155,-0.22421888077003246,-0.19189672704005128,1.512149112547814,-0.4710965944410133
6127,-0.08543096932330833,-0.1813151042183065,-1.8014821349494359,-1.5094383180470528,-2.1106240622796073,-0.27477951725159877,-0.05011234353286149,-0.07819891737776549,-0.4807190483806524,-0.08474671504538892,-0.6774249832720763,-0.4804661901796802,-0.6084485158687986,0.059470859508388,1.0208791799704295,-0.44642054698485106,-0.2579999334950121,-0.770581799164707,-0.9625477211591846
6787,-0.4053107799821662,-0.4757821749092886,-0.47513685862749033,-1.1399707195319682,0.47379351816918885,-0.27477951725159877,-0.05011234353286149,-0.07819891737776549,2.035687168398405,-0.08474671504538892,-2.7757794402033467,-0.4804661901796802,-0.6084485158687986,0.19576687986254243,-0.03943339290157291,-0.44642054698485106,-0.2579999334950121,-0.770581799164707,4.212770678349688
7068,-0.5652506853115952,-0.6154001825644956,0.2747890210355217,0.08737407612585567,0.47379351816918885,-0.27477951725159877,0.10035537738631922,0.07144725306801429,0.10248239241792739,-0.06365777830394774,-0.6774249832720763,-0.4804661901796802,1.2477633445051224,0.8772469816333146,-0.164503586639279,0.09635689773184242,-0.05870902946980354,1.0864872110872568,0.23688229417763562
3280,1.0341483679826942,1.0092457246960953,0.8313048994076465,0.9398941520738386,0.47379351816918885,0.16180475074229522,-0.02745857061080859,-0.010608665929329145,0.5436644593544251,-0.07098812337875988,0.27297151708792644,-0.4804661901796802,-0.6084485158687986,0.8772469816333146,-0.164503586639279,0.0095863538485617,-0.127980947475292,0.06819517044379837,1.1442308984392837
111,2.1537277052886967,2.4485804581597748,0.8666328247365948,1.0103968246395882,0.47379351816918885,-0.27477951725159877,-0.030023540545141388,-0.05821979881607245,0.4276787951735568,-0.06691480982834407,1.5447935722523976,-0.4804661901796802,-0.6084485158687986,0.19576687986254243,1.0208791799704295,0.13674212427326313,-0.08948804715541434,-0.5226462735007673,1.0658259811466078
10464,-1.6848300226175976,-1.450569719265643,-1.8014821349494359,-1.5094383180470528,-2.1106240622796073,-0.27477951725159877,-0.05011234353286149,-0.07819891737776549,-0.4807190483806524,-0.08474671504538892,-0.5823199589074399,-0.4804661901796802,-0.3764220333220584,0.19576687986254243,-0.03943339290157291,-0.44642054698485106,-0.2579999334950121,-0.770581799164707,-0.9625477211591846
9074,-1.3649502119587398,-1.2373349439376906,-1.8014821349494359,-1.5094383180470528,-2.1106240622796073,-0.27477951725159877,-0.05011234353286149,-0.07819891737776549,-0.4807190483806524,-0.08474671504538892,-0.9275810620043267,-0.4804661901796802,-0.6084485158687986,0.059470859508388,0.9780884476104248,-0.44642054698485106,-0.2579999334950121,-0.770581799164707,-0.9625477211591846
2722,0.5543286519944074,0.46854325868592983,1.194042907698609,1.6004827833738553,0.47379351816918885,-0.08408092851095558,-0.03362051960718081,-0.04211500373868322,0.0988318509038781,-0.07611739058690585,1.6935817080794788,2.297715885542314,0.7837103794116422,0.059470859508388,-0.0019180029466246903,-0.16404740317706476,-0.1735402288763933,-0.32279006758793927,0.28195928116880575
7064,-0.885130495970453,-0.8794051424943417,-1.8014821349494359,-1.5094383180470528,-2.1106240622796073,-0.27477951725159877,-0.05011234353286149,-0.07819891737776549,-0.4807190483806524,-0.08474671504538892,-0.731107626004193,-0.4804661901796802,-0.6084485158687986,0.46835892057085127,-0.164503586639279,-0.44642054698485106,-0.2579999334950121,-0.770581799164707,-0.9625477211591846
1745,1.0341483679826942,1.0092457246960953,1.146895301702418,1.5413989382002564,0.47379351816918885,-0.08822441333876381,0.02732841228567777,0.018073496348894186,0.1996311038851113,-0.0746165224833077,1.4209871223778998,-0.4804661901796802,1.4797898270518626,0.059470859508388,1.0208791799704295,-0.1308384698380961,-0.13833676256334165,0.4241331443674642,0.683604093492869
2167,0.3943887466649785,0.29846314026958676,1.1104634923796708,1.4844639686035002,0.47379351816918885,-0.19031384404085883,-0.006284237004497264,-0.025892350150242698,-0.0843454318763005,-0.0773753945222029,1.6935817080794788,2.3005833842374837,0.551683896864902,-0.07682516084576643,-0.0019180029466246903,-0.2205934349494384,-0.18834079662451467,-0.121471269028632,0.13214158926798453
1452,1.354028178641552,1.3950991276704856,0.35830358767686543,0.24733854858667317,0.47379351816918885,-0.27477951725159877,0.06312725263693535,0.03442239306754033,0.6897024477956532,-0.06887551911271517,1.1708300496534394,-0.4804661901796802,-0.6084485158687986,-0.07682516084576643,-0.0019180029466246903,-0.049775491230344436,-0.10801679189981314,0.6270185864577331,1.444577115821686
101,1.993787799959268,2.2277301551415385,-0.05179194191579605,-0.5543784306540596,0.47379351816918885,-0.27477951725159877,-0.05011234353286149,-0.07819891737776549,0.7019261709933171,-0.08474671504538892,1.006900968599922,-0.4804661901796802,-0.6084485158687986,0.3320629002166969,-0.0019180029466246903,-0.44642054698485106,-0.2579999334950121,-0.770581799164707,1.46971680080321
319,1.8338478946298389,2.011956870583491,1.1627607609584738,1.5200749318101914,0.47379351816918885,0.36153963204375944,0.06728409520697899,0.10423148378724797,0.13545341690575186,-0.08131883965245448,2.2762798690215944,-0.4804661901796802,-0.6084485158687986,-0.21312118119992085,1.0208791799704295,-0.32909663970820513,-0.22560643759148255,2.4441740332196895,0.4801554114317111
6765,0.0745089360061206,-0.026466041182531434,-1.8014821349494359,-1.5094383180470528,-2.1106240622796073,-0.27477951725159877,-0.05011234353286149,-0.07819891737776549,-0.4807190483806524,-0.08474671504538892,0.0003771517301737613,-0.4804661901796802,-0.6084485158687986,0.46835892057085127,-0.164503586639279,-0.44642054698485106,-0.2579999334950121,-0.770581799164707,-0.9625477211591846
3406,0.5543286519944074,0.46854325868592983,0.6432157495491452,0.5863390508072632,0.47379351816918885,0.1391250485088463,-0.028635389983382806,-0.014119847822754432,0.07423454022536356,-0.07471297686692818,-0.24977961251308692,-0.4804661901796802,-0.6084485158687986,0.059470859508388,-0.164503586639279,-0.10266149866427836,-0.1631808927413701,0.024622340853745876,0.5211872769847458
625,1.993787799959268,2.2277301551415385,0.7970097044280676,0.8710205427325609,0.47379351816918885,-0.27477951725159877,-0.011927280752398472,-0.040222344206984166,0.24284823439926814,-0.07404299243264757,-0.24977961251308692,-0.4804661901796802,-0.6084485158687986,-3.484225669699627,-1.0829865367861282,-0.08667270571913574,-0.15684952548337924,-0.29930266825920204,0.7284871900948031
1922,0.8742084626532654,0.8239345508991841,0.2722564142896626,-0.03156792398671436,0.47379351816918885,-0.27477951725159877,-0.05011234353286149,-0.07819891737776549,0.10753175554172449,-0.07056569841983107,0.6306980781073963,-0.4804661901796802,-0.6084485158687986,0.19576687986254243,1.0208791799704295,0.011924850775912404,-0.12398902256319799,-0.770581799164707,0.24726696963509698
6586,-0.7251905906410241,-0.7499411717595132,-1.8014821349494359,-1.5094383180470528,-2.1106240622796073,-0.27477951725159877,-0.05011234353286149,-0.07819891737776549,-0.4807190483806524,-0.08474671504538892,0.2272496490306739,-0.4804661901796802,-0.6084485158687986,0.6046549409250057,-0.0019180029466246903,-0.44642054698485106,-0.2579999334950121,-0.770581799164707,-0.9625477211591846
7465,-0.885130495970453,-0.8794051424943417,0.5638157561595264,0.4700035550188682,0.47379351816918885,-0.27477951725159877,-0.05011234353286149,-0.07819891737776549,0.02821704040612309,-0.06371419600523572,0.9206729940668432,2.1131467855430066,0.08763093177142185,-0.07682516084576643,-0.3624297204325182,0.24109754965629432,-0.05924217795569231,-0.770581799164707,0.5327288629685794
3153,0.5543286519944074,0.46854325868592983,1.2019573506984451,1.5500381722470085,0.47379351816918885,0.3130610960625483,-0.03084775694730448,0.0016319258018325173,0.00877164731488555,-0.07694658446319422,2.0513084436113305,-0.4804661901796802,0.7837103794116422,0.059470859508388,2.4330439305934064,-0.1581065064579194,-0.18428853237986856,0.22009764481632463,0.2489067653549079
1254,0.8742084626532654,0.8239345508991841,0.8667338846535029,0.9661570536096269,0.47379351816918885,-0.17802476110150336,-0.019989495290649535,-0.03825441318041563,-0.03964887863933521,-0.07161193220455547,0.4930267492789697,-0.4804661901796802,-0.6084485158687986,0.059470859508388,-0.3624297204325182,0.020824761412043532,-0.13387595424381302,-0.27488116978137833,0.26473021296653015
1195,1.1940882733121232,1.1996339169531958,0.025822857286768794,-0.3382537402912354,0.47379351816918885,-0.27477951725159877,0.1255338437124747,0.09648824551735818,-0.4807190483806524,-0.051922919048356234,-0.3622651233344809,-0.4804661901796802,-0.6084485158687986,0.3320629002166969,-0.8149053484250494,0.4129770738165806,0.05218564190828511,1.3972392398568736,-0.9625477211591846
5256,-0.4053107799821662,-0.4757821749092886,0.11362782995324311,-0.06596883202640484,0.47379351816918885,0.9801569856223822,0.21035555374922701,0.31036970499073413,0.19231678968804047,-0.08474671504538892,-0.5823199589074399,-0.4804661901796802,-0.6084485158687986,0.19576687986254243,-0.8217104606691974,-0.44642054698485106,-0.2579999334950121,4.051451032061605,0.4216384778179284
3967,-0.08543096932330833,-0.1813151042183065,-1.8014821349494359,-1.5094383180470528,-2.1106240622796073,-0.27477951725159877,-0.05011234353286149,-0.07819891737776549,-0.4807190483806524,-0.08474671504538892,-1.217554219630258,-0.4804661901796802,-0.6084485158687986,-0.21312118119992085,-0.0019180029466246903,-0.44642054698485106,-0.2579999334950121,-0.770581799164707,-0.9625477211591846
9599,-1.205010306629311,-1.1231020285834303,0.5431990635511043,0.45684167464094005,0.47379351816918885,-0.27477951725159877,-0.05011234353286149,-0.07819891737776549,0.7670856872122684,-0.07064627237793084,1.2659353531196325,-0.4804661901796802,-0.6084485158687986,-0.07682516084576643,-0.164503586639279,-0.005703818368732285,-0.12475044819349237,-0.770581799164707,1.6037258653741404
2288,0.3943887466649785,0.29846314026958676,-1.8014821349494359,-1.5094383180470528,-2.1106240622796073,-0.27477951725159877,-0.05011234353286149,-0.07819891737776549,-0.4807190483806524,-0.08474671504538892,-0.11210842764249214,-0.4804661901796802,-0.6084485158687986,0.7409509612791602,1.4851034373861596,-0.44642054698485106,-0.2579999334950121,-0.770581799164707,-0.9625477211591846
259,2.1537277052886967,2.4485804581597748,0.3816489681990622,0.1381771728331062,0.47379351816918885,0.22914188276880013,0.002183269495433696,0.02582124286646683,0.33005622432859033,-0.07986035639308602,1.6935817080794788,-0.4804661901796802,-0.6084485158687986,-0.07682516084576643,2.4330439305934064,-0.2827257620702927,-0.2118237395432683,0.520280609512821,0.704917634291168
4472,-0.08543096932330833,-0.1813151042183065,-1.8014821349494359,-1.5094383180470528,-2.1106240622796073,-0.27477951725159877,-0.05011234353286149,-0.07819891737776549,-0.4807190483806524,-0.08474671504538892,-1.5327116117474013,-0.4804661901796802,-0.6084485158687986,0.19576687986254243,-0.0019180029466246903,-0.44642054698485106,-0.2579999334950121,-0.770581799164707,-0.9625477211591846
334,1.993787799959268,2.2277301551415385,0.8831097100387261,1.0008781954061088,0.47379351816918885,-0.00024091076091033455,-0.05011234353286149,-0.04986359579861284,-0.13716375169177922,-0.06788668633979424,0.4930267492789697,-0.4804661901796802,-0.6084485158687986,0.3320629002166969,-0.8149053484250494,0.14734508193250165,-0.09867230101052518,-0.4189480256881329,-0.2559813344020955
3607,0.23444884133554955,0.13346004031343298,-1.8014821349494359,-1.5094383180470528,-2.1106240622796073,-0.27477951725159877,-0.05011234353286149,-0.07819891737776549,-0.4807190483806524,-0.08474671504538892,-1.7828646057272202,-0.4804661901796802,-0.6084485158687986,0.46835892057085127,-0.26132127849868847,-0.44642054698485106,-0.2579999334950121,-0.770581799164707,-0.9625477211591846
