,age,age_squared,log_minutes,log_appearances,has_appearances,goals_per_90,assists_per_90,contributions_per_90,yellow_per_90,clean_sheets_per_90,log_highest_mv,log_total_fees,transfer_count,squad_size,league_mean_value,goals_per_app,assists_per_app,minutes_per_goal,assist_to_goal_ratio
7001,-0.49009927043714707,-0.5496120759206009,0.5709640992597218,0.516939658707206,0.38013914583437075,0.33693960707231996,-0.32552428201452765,0.1686322740333048,0.5529371472926461,-0.08522521000155522,-0.09663755492574723,1.7587172865488183,1.840956415538564,0.4588124720605351,0.03204609704620202,1.349944218195505,-0.7866254677722384,-0.8076295921148359,-0.7128668711165993
624,1.310703345184026,1.3402663109255348,-2.011057980521634,-1.6807002013629417,-2.630615686277433,-0.2645811717262083,-0.32552428201452765,-0.37601377997121044,-0.31596669279132744,-0.12175309273379369,0.20996040688571097,-0.5153965985805741,-0.5900083839076895,0.5922557628761693,-0.47597027758308247,-0.8692811750788052,-0.7866254677722384,1.2723282815380805,-0.7128668711165993
5611,-0.16268061305147924,-0.2535751817572901,-0.3269352740091527,-1.0464558566572983,0.38013914583437075,-0.2645811717262083,1.26660946724185,0.2913567960705064,-0.31596669279132744,-0.12175309273379369,-0.7560247990049743,-0.5153965985805741,-0.5900083839076895,-3.4110429615928575,-1.1538214653442376,-0.8692811750788052,5.70365401838807,1.2723282815380805,1.026052880976603
3972,0.0010287156413546859,-0.09762717501054602,-0.6694569280345577,-0.7515490307040807,0.38013914583437075,-0.2645811717262083,-0.32552428201452765,-0.37601377997121044,-0.31596669279132744,-0.12175309273379369,-1.4154093755463635,-0.5153965985805741,-0.5900083839076895,0.058482599613632454,-0.7820961124886134,-0.8692811750788052,-0.7866254677722384,1.2723282815380805,-0.7128668711165993
7176,-0.8175179278228148,-0.8245034776436752,0.2363491323475061,-0.2963614936532822,0.38013914583437075,0.008005799201348598,-0.031115121568092857,-0.005793606400622895,0.41096577308465254,-0.12175309273379369,-0.7560247990049743,-0.5153965985805741,-0.5900083839076895,-3.4110429615928575,-1.1538214653442376,0.7581507799890225,0.5114304294598234,-0.7872607453821616,-0.13322695375219856
5914,-0.49009927043714707,-0.5496120759206009,0.8886841366449779,1.1468916856339961,0.38013914583437075,0.23981092720571784,0.30305839301656157,0.3441686321312969,0.20138264655937005,-0.10478897472723722,1.1345372843705148,1.6581949088518075,1.6383760155847096,0.8591423445074378,0.03204609704620202,0.7214417885213266,0.6773473486548983,-0.8043791515264525,0.2531996578240687
8077,-1.4723552425941506,-1.3108498037691143,0.4241074845183541,0.46319724658886624,0.38013914583437075,-0.18683429799183923,0.5141853983705154,0.04636093574707261,-0.004964704441194521,-0.08776010817867101,0.20996040688571097,-0.5153965985805741,1.2332152156770007,0.3253691812449009,1.1651604701420164,-0.6658521806953268,0.8359444037678389,-0.6939129717018302,3.6344325091164067
8779,-1.7997738999798183,-1.522304728171479,-0.23725285207209082,-0.8803729451444976,0.38013914583437075,0.8613810900951577,0.8905778782214996,1.1532373892500103,0.43470979835195844,-0.12175309273379369,1.8985729386866332,2.229570199421015,0.017732815953873885,0.058482599613632454,2.420873356370931,4.55549200848062,3.5402275230013003,-0.8154916497524755,-0.13322695375219856
756,1.310703345184026,1.3402663109255348,0.9164252435604286,0.8772727305619986,0.38013914583437075,0.021126816928495797,0.06020145895928383,0.04436373302159555,-0.14929593216611267,-0.11134317014449781,0.20996040688571097,-0.5153965985805741,-0.5900083839076895,-0.07496069120200177,-0.2325889422883931,0.699327938239583,0.7772972999772327,-0.7889713659920804,0.31002710070293155
2972,0.0010287156413546859,-0.09762717501054602,0.6841020563231104,0.5296283910589039,0.38013914583437075,0.20013873435737062,0.13778968713729636,0.2389722518119671,-0.1253034869999887,-0.07486359936053416,-0.1673310084730975,-0.5153965985805741,-0.5900083839076895,-0.07496069120200177,-0.7820961124886134,1.4814538711302785,0.9441157285371768,-0.8026606880303955,0.0323844512090587
