,log_market_value
5283,11.225256725762891
7660,13.527829818844936
5998,12.206077645517674
257,14.285514812209817
4549,12.07254696717504
288,11.51293546492023
2935,12.323860125621126
6917,11.51293546492023
5498,13.304686600863562
5604,12.611541086966117
5721,11.918397239722838
2413,13.45883704259595
7779,14.220976332738882
8713,11.918397239722838
737,13.122365377402328
7309,12.429220196836384
8280,11.51293546492023
5317,15.607270193858982
6878,13.304686600863562
543,12.206077645517674
8569,12.765691290604371
2704,11.51293546492023
6610,17.216707972959764
3755,12.765691290604371
5934,13.304686600863562
7059,13.527829818844936
7853,11.51293546492023
6873,12.429220196836384
2592,12.611541086966117
5305,16.52356082573315
4820,10.819798284210286
5686,14.508658238524095
800,11.736077016252436
7573,11.51293546492023
1405,13.997832948091215
56,12.899222326086994
69,11.918397239722838
7385,12.611541086966117
711,11.736077016252436
5771,10.12667110305036
265,13.122365377402328
1586,13.45883704259595
2841,13.21767537538882
9216,15.201805169084134
6495,11.51293546492023
1978,11.51293546492023
4058,11.225256725762891
4023,15.319588176962746
7245,12.07254696717504
2469,10.819798284210286
7483,13.45883704259595
3935,12.206077645517674
4974,13.304686600863562
1993,12.611541086966117
2322,12.524530013005734
1981,14.914123179965662
5876,12.206077645517674
6294,14.690979711984754
7215,12.206077645517674
7538,12.206077645517674
4317,12.323860125621126
9073,10.819798284210286
5834,15.009433329466964
2276,16.118095750958314
9281,12.429220196836384
5127,13.122365377402328
8367,17.50439003707821
1329,11.918397239722838
8458,17.034386422832473
1684,10.819798284210286
9066,12.611541086966117
6955,12.765691290604371
1777,11.51293546492023
2903,11.51293546492023
751,13.122365377402328
8615,14.731801689838347
6602,15.201805169084134
3725,11.51293546492023
6458,13.21767537538882
476,12.206077645517674
4333,14.220976332738882
2475,12.611541086966117
4532,11.225256725762891
211,11.51293546492023
468,10.819798284210286
1545,11.51293546492023
7053,11.736077016252436
6785,16.993564429978885
9023,11.918397239722838
5851,11.918397239722838
7898,12.765691290604371
7131,10.819798284210286
1025,11.918397239722838
4215,10.819798284210286
6361,10.819798284210286
7101,14.508658238524095
4370,15.319588176962746
1470,12.206077645517674
2400,12.611541086966117
7750,16.811242881518265
4132,12.765691290604371
2305,12.611541086966117
773,12.765691290604371
2485,12.899222326086994
2867,11.51293546492023
5516,16.118095750958314
7675,11.918397239722838
641,11.51293546492023
5981,10.819798284210286
196,11.51293546492023
2649,14.508658238524095
1155,12.524530013005734
1144,11.918397239722838
7291,12.206077645517674
1108,10.12667110305036
6831,15.068273812173889
6428,12.206077645517674
1420,11.918397239722838
6974,14.220976332738882
6394,11.51293546492023
3097,15.201805169084134
2953,13.122365377402328
5690,14.508658238524095
9533,10.819798284210286
1758,12.206077645517674
957,11.918397239722838
7004,14.978661680269909
1680,12.07254696717504
633,13.592368256649284
5484,10.12667110305036
2868,12.611541086966117
9492,13.997832948091215
1261,11.51293546492023
118,12.524530013005734
6653,10.819798284210286
5499,12.611541086966117
9018,11.918397239722838
8703,13.122365377402328
4726,11.918397239722838
8078,13.304686600863562
4687,12.429220196836384
5070,12.07254696717504
9191,17.909855136853043
7626,13.815511557963774
4779,11.736077016252436
4454,12.899222326086994
7590,11.918397239722838
2769,11.736077016252436
8816,10.819798284210286
2111,10.819798284210286
1172,12.206077645517674
7132,11.51293546492023
7160,15.424948670398354
8932,11.51293546492023
8428,15.687312888712007
92,12.429220196836384
6738,12.765691290604371
4068,11.225256725762891
5528,14.508658238524095
5194,12.765691290604371
5178,11.225256725762891
2190,12.323860125621126
4857,13.45883704259595
6368,10.819798284210286
9027,15.894952224644102
8710,10.819798284210286
2954,11.51293546492023
5394,12.429220196836384
4861,12.611541086966117
3646,12.206077645517674
6314,13.304686600863562
815,11.918397239722838
8873,11.736077016252436
618,12.206077645517674
3883,11.51293546492023
2668,12.765691290604371
4888,12.899222326086994
