,age,age_squared,log_minutes,log_appearances,has_appearances,goals_per_90,assists_per_90,contributions_per_90,yellow_per_90,clean_sheets_per_90,log_highest_mv,log_total_fees,transfer_count,squad_size,league_mean_value,cs_rate,save_pct_proxy,gk_offensive
2710,-1.1079766952940762,-1.0343640801277845,1.0732339426382311,1.1412651685521327,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.14306308533964524,2.244619534397995,1.7273174150967097,-0.18545441078428168,0.4563931245671544,-0.5097175270386403,-0.09166443559529894,-0.14306308533964524,-0.2352454750034524
1462,0.12563004491045174,0.01900162044241356,1.4729157513622135,1.9514016939133079,0.8255132229215193,-0.04341530649267131,0.9028167139141471,0.8048630478037496,0.914822519832086,-0.2507328224561736,2.244619534397995,2.7249078314667727,1.5580637748595192,-0.2393281019071661,0.2219466411622202,-0.28293893668136344,-0.2507328224561736,0.8048630478037496
2188,-0.18277164014068023,-0.2735999630493081,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-1.3187085738586168,-0.40425147250511956,-0.6213339571952319,-1.6307705548558071,-1.2499395687898753,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
2405,-0.33697248266624624,-0.4125857152078759,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-0.632377663449776,-0.40425147250511956,-0.6213339571952319,0.5955373698620186,-0.563016794958239,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
865,0.43403172996158373,0.3311099761669167,0.5032509648407448,0.06614638218983085,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,0.49353689267571216,-0.4526542495276893,-0.40425147250511956,-0.6213339571952319,-0.3784723472020302,-0.5836187199673863,1.0032918593011537,0.49353689267571216,-0.2352454750034524
834,0.7424334150127156,0.6627251041242012,0.6349359161806375,0.30187562803817763,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,0.07592730709763776,0.11978084160840623,-0.40425147250511956,-0.6213339571952319,0.4563931245671544,0.2219466411622202,0.2822230797351971,0.07592730709763776,-0.2352454750034524
69,1.5134376276405457,1.5771050525358314,1.2944059880165337,1.5938928060459758,0.8255132229215193,-0.04341530649267131,2.035647392913383,1.8415613787329177,0.2604988763078285,-0.28979635930593906,1.2391508880615285,2.7005524298356134,1.776003548064994,0.03896038868256211,-0.5836187199673863,-0.35009877311494947,-0.28979635930593906,1.8415613787329177
3175,-1.1079766952940762,-1.0343640801277845,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-0.4526542495276893,-0.40425147250511956,-0.6213339571952319,-0.3784723472020302,0.2219466411622202,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
3050,-0.028570797615114253,-0.12973751783254495,1.1438039348617601,1.288927415119492,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,1.3476438685048417,-0.27194076735869244,0.8061192487020843,-0.40425147250511956,0.6863046820376187,0.03896038868256211,0.2219466411622202,-0.3186675699031,-0.27194076735869244,-0.2352454750034524
1959,-0.6453741677173782,-0.6759271403504253,0.9183650626048904,0.8422411331314897,0.8255132229215193,-0.04341530649267131,6.55044111218203,6.647984707230094,-0.521863228874641,-0.2581603613648218,0.4134071029385389,-0.40425147250511956,1.340124001654044,0.7346816151568826,-0.3160646855196059,-0.29463194391756814,-0.2581603613648218,6.647984707230094
