,age,age_squared,log_minutes,log_appearances,has_appearances,goals_per_90,assists_per_90,contributions_per_90,yellow_per_90,clean_sheets_per_90,log_highest_mv,log_total_fees,transfer_count,squad_size,league_mean_value,creative_per_90,mid_attack_per_90,attack_defense_ratio
6657,-0.8384024321110491,-0.839488019747269,0.8372377706001092,0.9781430948600958,0.43874017524255193,1.49657338396329,0.9014341499992091,1.3050464269136268,0.4931809200589202,-0.18027749169410393,0.029580756426761494,-0.4635380542724407,1.5553625729352738,0.062204823322410695,-0.8393135737919594,0.9014341499992091,1.3050464269136268,-0.11955834033938365
7741,-0.6781881968208852,-0.7089550435545755,-0.7490573460210306,-0.8048207036786592,0.43874017524255193,-0.684404985105317,-0.7185689530900853,-0.7966086167305281,-0.8526238971190682,-0.27854990528172674,-0.27292661832799425,-0.4635380542724407,-0.5904460366225175,0.19450062647848518,1.1846568167832359,-0.7185689530900853,-0.7966086167305281,-0.25277970850767784
4114,-0.35775972624055724,-0.4325322704406364,0.1777708328804758,-0.052748063016004515,0.43874017524255193,-0.684404985105317,3.0851303292930483,1.2911058456890698,-0.8526238971190682,0.059868030800267896,0.5228240439833817,2.0320210733749757,1.3169393940955192,0.062204823322410695,0.1895894055833901,3.0851303292930483,1.2911058456890698,3.9202403277771234
2845,0.2830972149200987,0.18174055870145048,0.03371443091009007,-0.25602140803109685,0.43874017524255193,1.3200873837936695,1.3117649623022472,1.4321466891042023,1.7978793858372626,0.1278907896675285,0.1375503540795052,-0.4635380542724407,-0.5904460366225175,0.3267964296345596,-0.2109866128297434,1.3117649623022472,1.4321466891042023,-0.17990756001195193
3718,0.12288297962993475,0.020493941051652653,1.1296338423361971,1.369180529506931,0.43874017524255193,-0.18038198325597352,-0.548395361898905,-0.42299983109685496,0.45561302289237665,-0.21041778953327964,1.1819361831252873,2.2558944211851673,1.5553625729352738,-0.33468258614581275,1.288159605685006,-0.548395361898905,-0.42299983109685496,-0.22843918630224477
4997,-0.5179739615307212,-0.5733031271190313,0.9572088515951621,1.0961491016027989,0.43874017524255193,-0.09461660133359702,0.5757800054229167,0.24170022523518184,-0.24606121921519875,-0.23204331200134568,0.7714588018226656,1.970671301221432,1.0785162152557646,0.3267964296345596,1.288159605685006,0.5757800054229167,0.24170022523518184,-0.11218260413523255
6050,-0.6781881968208852,-0.7089550435545755,0.6571302990765553,0.7556349334454066,0.43874017524255193,-0.16098708825411312,0.0766796028952217,-0.0691361448493169,0.1855348473247171,-0.1370422018545944,-0.5130400497777389,-0.4635380542724407,1.7937857517750284,0.062204823322410695,-1.3261649456019389,0.0766796028952217,-0.0691361448493169,-0.19355744142554812
4628,-0.03733125566022925,-0.13563373635529444,-1.8387737175998728,-1.556893344341314,-2.279253317631928,-0.684404985105317,-0.7185689530900853,-0.7966086167305281,-0.8526238971190682,-0.27854990528172674,-0.9235160352004993,-0.4635380542724407,-0.5904460366225175,0.8559796422588576,-0.756966134363579,-0.7185689530900853,-0.7966086167305281,-0.25277970850767784
5874,-0.5179739615307212,-0.5733031271190313,-0.550032838911446,-1.1808570240099865,0.43874017524255193,-0.684404985105317,-0.7185689530900853,-0.7966086167305281,5.157860820292005,-0.27854990528172674,-0.551259263445259,-0.4635380542724407,-0.5904460366225175,0.3267964296345596,-0.2109866128297434,-0.7185689530900853,-0.7966086167305281,-0.25277970850767784
4070,0.4433114502102627,0.348106116594099,0.7955100810566045,0.9078701287282853,0.43874017524255193,-0.18458061988744678,-0.5498129501261539,-0.4261120849571872,0.3957588968341387,-0.15468154835501005,0.7714588018226656,-0.4635380542724407,-0.5904460366225175,0.19450062647848518,-0.8393135737919594,-0.5498129501261539,-0.4261120849571872,-0.22752412329967317
2231,-0.03733125566022925,-0.13563373635529444,-1.1038173389534331,-1.1808570240099865,0.43874017524255193,-0.684404985105317,-0.7185689530900853,-0.7966086167305281,-0.8526238971190682,-0.27854990528172674,0.26969448397254403,-0.4635380542724407,-0.5904460366225175,0.3267964296345596,1.2488872932700035,-0.7185689530900853,-0.7966086167305281,-0.25277970850767784
7275,-0.5179739615307212,-0.5733031271190313,0.9880087916671543,1.1791937032909783,0.43874017524255193,-0.41770691903390966,0.2719307711417137,-0.10469060742209672,0.6755258127402861,-0.20043867334379706,1.1819361831252873,2.254011996979584,1.3169393940955192,0.19450062647848518,1.1846568167832359,0.2719307711417137,-0.10469060742209672,-0.2140066742357539
2321,0.12288297962993475,0.020493941051652653,0.5434506993404428,0.3232882573153229,0.43874017524255193,-0.684404985105317,-0.7185689530900853,-0.7966086167305281,0.8190659105047445,-0.09910853651848625,0.1617248665800399,-0.4635380542724407,-0.5904460366225175,0.19450062647848518,1.1846568167832359,-0.7185689530900853,-0.7966086167305281,-0.25277970850767784
4932,-0.35775972624055724,-0.4325322704406364,1.1360688461396222,1.3979929142999603,0.43874017524255193,0.30269636302054276,0.1146201110195512,0.20946825892610124,0.28340605617176445,-0.19700751384642043,1.6332707549534848,2.5698235402079184,2.9859016459738013,0.19450062647848518,0.1895894055833901,0.1146201110195512,0.20946825892610124,-0.1776692985348585
521,1.5648110972414107,1.655995348642459,0.5808396332839788,0.6364851534825396,0.43874017524255193,0.9941050365948796,-0.03850932756889357,0.5098027831647645,-0.11280295092523966,-0.18779179411315008,0.5722020956043793,-0.4635380542724407,-0.5904460366225175,-3.3774860587355255,-0.5977437449069555,-0.03850932756889357,0.5098027831647645,-0.10595106367625373
522,1.7250253325315745,1.8633124284779135,0.7126404976595975,0.6907810036819125,0.43874017524255193,0.18897402861195148,0.8295483433868922,0.5386439858310599,0.013515821983837512,-0.19000460104484393,0.5722020956043793,-0.4635380542724407,-0.5904460366225175,0.7236838391027831,-0.5977437449069555,0.8295483433868922,0.5386439858310599,-0.12353613079186412
5415,0.12288297962993475,0.020493941051652653,0.06844974278749112,-0.019858858026503754,0.43874017524255193,-0.684404985105317,-0.7185689530900853,-0.7966086167305281,-0.06397182684246645,-0.27854990528172674,0.26969448397254403,-0.4635380542724407,-0.5904460366225175,0.3267964296345596,-0.10317772727825975,-0.7185689530900853,-0.7966086167305281,-0.25277970850767784
