,age,age_squared,log_minutes,log_appearances,has_appearances,goals_per_90,assists_per_90,contributions_per_90,yellow_per_90,clean_sheets_per_90,log_highest_mv,log_total_fees,transfer_count,squad_size,league_mean_value,goals_per_app,assists_per_app,minutes_per_goal,assist_to_goal_ratio
5634,-0.49009927043714707,-0.5496120759206009,-1.0252995595893197,-1.0464558566572983,0.38013914583437075,-0.91575507249298,-0.7687894040738957,-1.0327768901164462,-0.7055516281166173,3.674505986404269,-1.4154093755463635,-0.5153965989026039,-0.5900083839076895,0.19192589042926667,-0.2325889422883931,-0.9224518978017541,-0.8789888938672584,1.2724666102940188,-0.7758449316788271
3249,0.0010287156413546859,-0.09762717501054602,-2.0110579811970286,-1.6807002013629417,-2.630615686277433,-0.91575507249298,-0.7687894040738957,-1.0327768901164462,-0.7055516281166173,-0.3240130194075152,-1.1720506712789909,-0.5153965989026039,-0.5900083839076895,0.058482599613632454,-0.966672091824132,-0.9224518978017541,-0.8789888938672584,1.2724666102940188,-0.7758449316788271
6297,-0.9812272565156488,-0.9540196188401237,0.5051602233716692,0.22203283275398827,0.38013914583437075,-0.4350033963735306,-0.07365025106094973,-0.3620057659337503,-0.2924566968519421,-0.12800718578929046,-0.2474766233022348,-0.5153965989026039,1.4357956156308551,1.2594722169543404,0.03204609704620202,-0.24657789568990265,0.2661727909574758,-0.749937811482719,0.517837241571254
1540,0.4921567017198564,0.4019350838900409,1.0865345452240796,1.2564408055688534,0.38013914583437075,0.14218441997430983,0.08785345665315163,0.11857740022725337,-0.0873946142786155,-0.199790164111416,-0.5126647609716461,-0.5153965989026039,2.246117215446273,0.19192589042926667,-0.7820961124886134,0.4418900319271383,0.41554170636939763,-0.7866236727032665,0.2690522082539308
1217,0.4921567017198564,0.4019350838900409,1.0230732044591377,1.2272034654567932,0.38013914583437075,-0.40424598733111794,0.044784444688821826,-0.283407063273956,0.48116267025220955,-0.21556917988967128,-0.583358131157995,-0.5153965989026039,-0.5900083839076895,0.5922557628761693,-0.7820961124886134,-0.34817986986357957,0.19132562201468298,-0.7539811377732993,1.1646783281962947
2682,0.32844737302702254,0.23012795781311948,-0.449801526842863,-1.0464558566572983,0.38013914583437075,-0.91575507249298,-0.7687894040738957,-1.0327768901164462,-0.7055516281166173,0.3614473815887907,-1.0795297968902786,-0.5153965989026039,-0.5900083839076895,0.19192589042926667,-0.7820961124886134,-0.9224518978017541,-0.8789888938672584,1.2724666102940188,-0.7758449316788271
9036,-1.3086459139013167,-1.1971927819028432,0.46575083306822,0.26328709893295654,0.38013914583437075,-0.6453322546757897,0.013242143065668524,-0.46681375408729653,-0.00845393160747791,-0.3240130194075152,-0.583358131157995,1.3905057887233279,-0.18484758399998058,-0.07496069120200177,-1.1538214653442376,-0.6086532539641087,0.18437552775570895,-0.6976382648980395,1.1646783281962947
2997,0.4921567017198564,0.4019350838900409,0.7027926683297128,0.6634507270421783,0.38013914583437075,0.2827875793171865,0.7716758764713897,0.5465915715605535,0.43874875480725656,-0.19370521837321447,-0.4494273707039313,-0.5153965989026039,-0.5900083839076895,1.1260289261387062,-0.7678758687848403,0.46486842232257236,1.2104289170410283,-0.7902082995781118,0.7765736762212705
5604,-0.32638994174431313,-0.40423681539397505,1.3420181277711245,1.651234031399528,0.38013914583437075,0.623011322252765,0.5433708101959482,0.6737900628128968,0.15897291222353582,-0.27253684607267126,2.4240304419849155,2.2086171339853733,0.017732815953873885,-0.208403982017636,0.1801035992703171,1.2192238463901757,1.2610320046489643,-0.7961718051802613,0.3540800044509907
6446,-0.9812272565156488,-0.9540196188401237,-0.8507763868336125,-0.7515490307040807,0.38013914583437075,-0.91575507249298,-0.7687894040738957,-1.0327768901164462,-0.7055516281166173,-0.3240130194075152,-1.8314312465580775,-0.5153965989026039,-0.5900083839076895,-0.07496069120200177,-0.7820961124886134,-0.9224518978017541,-0.8789888938672584,1.2724666102940188,-0.7758449316788271
1191,0.9832846877983582,0.9490747007811599,1.1349260430746821,1.3664297168572084,0.38013914583437075,0.47587561954509777,0.1314132033379401,0.3723859204380441,0.36436115875858316,-0.28817864444878377,1.2510699710534425,-0.5153965989026039,-0.5900083839076895,0.058482599613632454,-0.9770299633081607,0.7897622408816026,0.41886101560077305,-0.7939506209758631,0.07002418160007219
5873,-0.9812272565156488,-0.9540196188401237,0.6775236600398958,0.8908572180690694,0.38013914583437075,0.37678327703480796,0.6848273213609203,0.5702635055873351,0.7752989292578256,-0.13664343371376422,0.46651274209609245,-0.5153965989026039,1.6383760155847096,0.19192589042926667,-0.1917598388420788,0.007868787458088129,0.3470077334156915,-0.7921697360435502,0.5825213502337581
5377,0.0010287156413546859,-0.09762717501054602,-2.0110579811970286,-1.6807002013629417,-2.630615686277433,-0.91575507249298,-0.7687894040738957,-1.0327768901164462,-0.7055516281166173,-0.3240130194075152,-1.281479515384197,-0.5153965989026039,-0.5900083839076895,0.7256990536918035,-0.9770299633081607,-0.9224518978017541,-0.8789888938672584,1.2724666102940188,-0.7758449316788271
1542,1.146994016491192,1.142027319298318,1.274975927730942,1.5405563999149532,0.38013914583437075,-0.3132073707322153,0.8691590365299252,0.17784208820203665,-0.5812915177236391,-0.2729151303047924,0.8693487179867162,-0.5153965989026039,-0.5900083839076895,0.19192589042926667,-0.9770299633081607,-0.09041003914133068,1.7713663691172596,-0.7635298337015609,2.7320240380954313
3315,0.4921567017198564,0.4019350838900409,-0.3866637490882461,-0.5572988703620886,0.38013914583437075,-0.91575507249298,-0.7687894040738957,-1.0327768901164462,5.266434937253019,0.24270620976265891,-0.9993845035954255,-0.5153965989026039,-0.5900083839076895,1.1260289261387062,-0.7678758687848403,-0.9224518978017541,-0.8789888938672584,1.2724666102940188,-0.7758449316788271
3338,-0.16268061305147924,-0.2535751817572901,-1.104439331341811,-1.2805365732537197,0.38013914583437075,-0.91575507249298,-0.7687894040738957,-1.0327768901164462,-0.7055516281166173,-0.3240130194075152,-0.9993845035954255,-0.5153965989026039,-0.5900083839076895,0.5922557628761693,-0.1917598388420788,-0.9224518978017541,-0.8789888938672584,1.2724666102940188,-0.7758449316788271
